"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Golga1",0.14171966144592,-0.439667010874644,0.109,0.159,1
"Rap1gds1",0.141816347357171,0.465861881462416,0.527,0.51,1
"Usp34",0.141848411598951,0.488491382115728,0.372,0.324,1
"Atl1",0.141962724845603,0.963758198892554,0.163,0.117,1
"Mageh1",0.14238320622406,-0.535029146531394,0.087,0.131,1
"Krt10",0.142638479911581,-0.69176198383959,0.065,0.103,1
"Sltm",0.143137215295517,0.622900427007995,0.38,0.352,1
"Bcas1",0.143272984440081,0.317743132714084,0.872,0.903,1
"Pi4kb",0.143333827861307,1.61786714958871,0.117,0.076,1
"Fars2",0.143354591842235,0.981023337815119,0.155,0.11,1
"Pex10",0.143451476001012,-0.530820640730171,0.049,0.083,1
"Ciz1",0.143504785242777,-0.302910108892202,0.071,0.11,1
"Etv6",0.143572231600201,1.44104483607828,0.076,0.041,1
"2310009B15Rik",0.143897034750823,-0.850238079306322,0.049,0.083,1
"Tmco6",0.144267847102422,-0.621954005388393,0.071,0.11,1
"Mepce",0.144825124480652,-0.439190770586875,0.087,0.131,1
"Nfatc3",0.144856031681694,0.804668041044998,0.239,0.193,1
"Nrip1",0.144883933577553,0.575391008312558,0.215,0.166,1
"Zfp438",0.145131828751198,1.32715655376138,0.109,0.069,1
"Rab11fip4",0.145144765929217,0.668747346472335,0.215,0.166,1
"Adck1",0.145176573665872,-0.393734986472286,0.087,0.131,1
"Pcnx4",0.145224055852705,-0.50298917146535,0.076,0.117,1
"Gdap2",0.145528675708737,-0.275801507370375,0.087,0.131,1
"Arih2",0.145751910482446,1.08282990933558,0.155,0.11,1
"Kif3c",0.146313172614396,0.718439796038137,0.296,0.255,1
"Ints8",0.146591087158592,0.992245847336895,0.133,0.09,1
"Acyp2",0.146614658532088,0.399143935025013,0.361,0.324,1
"Cybc1",0.14671925521466,-0.526552091062653,0.076,0.117,1
"Zfp639",0.146749908454431,-0.573198024104796,0.125,0.172,1
"Cflar",0.146937836239545,-0.417942007954579,0.043,0.076,1
"Rmnd1",0.146990124629574,0.957736268821378,0.141,0.097,1
"Rbfox2",0.146999348281886,1.25372274487826,0.084,0.048,1
"Spire1",0.147066734029238,0.719823397731396,0.217,0.166,1
"Vcpip1",0.147569950490727,1.06347629701752,0.155,0.11,1
"Cenpx",0.148170225301391,-0.444914179806193,0.185,0.241,1
"Matn2",0.148352332199671,0.984076661683575,0.109,0.069,1
"Pigv",0.148372323358697,-0.684894708729229,0.043,0.076,1
"Mpv17l",0.148535672079535,-0.452087644813617,0.082,0.124,1
"Guf1",0.148719548438173,1.47524583236619,0.057,0.028,1
"Prdm2",0.148758631489388,0.529304079016112,0.207,0.152,1
"Zfp169",0.148852855180151,-0.453596385247161,0.043,0.076,1
"Pcdhgb6",0.148868459242906,0.934717905350998,0.068,0.034,1
"Reps1",0.148911683937178,1.33760224025731,0.092,0.055,1
"Trmt10c",0.149018925462244,-0.603216783921891,0.065,0.103,1
"Ppp2r5d",0.149272843393459,-0.392693480755018,0.082,0.124,1
"Dars2",0.149334574270962,-0.671380632709388,0.043,0.076,1
"Cdc42se2",0.149356213591141,0.564845949493512,0.478,0.469,1
"A930005H10Rik",0.149424823131133,-0.459398012827997,0.065,0.103,1
"Pcbd2",0.149696629624917,-0.526464393151313,0.071,0.11,1
"Dnal1",0.149863242582523,1.29281110227024,0.084,0.048,1
"Tfrc",0.150023891204059,0.684565656084553,0.25,0.2,1
"Farp2",0.15025095610281,1.00695448502772,0.174,0.131,1
"Uqcc1",0.15077314440197,0.721697283078476,0.12,0.076,1
"Gpsm2",0.150871264654466,-0.350469619010969,0.139,0.193,1
"Rnf43",0.150947970700712,0.740043734223801,0.155,0.11,1
"Osbpl5",0.151481648987601,1.5964344840181,0.057,0.028,1
"E2f6",0.151761031934804,-0.551173910638827,0.043,0.076,1
"Mettl3",0.152289764617784,-0.474088847797399,0.065,0.103,1
"Cldn34c1",0.152343503298613,-0.345419774021537,0.087,0.131,1
"Pnrc2",0.152525998632136,-0.261182275005973,0.087,0.131,1
"Nrxn2",0.152528539717839,0.501017114033687,0.226,0.172,1
"Nol6",0.152645590330061,-0.667870823785028,0.054,0.09,1
"Vps54",0.152654039319313,-0.4470115878356,0.06,0.097,1
"Tarbp2",0.152739978919304,-0.541020096642683,0.043,0.076,1
"Smg7",0.152812000321414,0.908021106284346,0.245,0.2,1
"Tfb1m",0.15309236028897,-0.625245170216369,0.054,0.09,1
"Rab2b",0.15332570465806,-0.305748070526503,0.13,0.186,1
"Nit2",0.153523707977404,-0.416478445343545,0.038,0.069,1
"Tbc1d13",0.153723723329655,-0.501054471695307,0.043,0.076,1
"Pold4",0.154070359679912,-0.359217340731447,0.071,0.11,1
"Tpst2",0.154472737882976,1.21082271459221,0.092,0.055,1
"Ubl4a",0.15473300471876,-0.448318744878085,0.125,0.172,1
"Hibch",0.154778544459924,-0.279923812795084,0.065,0.103,1
"Cfdp1",0.155014623585514,-0.250739921674915,0.285,0.352,1
"Ranbp6",0.155053266915872,1.56951666677241,0.057,0.028,1
"Trp53i13",0.15532307513897,-0.716474131263715,0.136,0.179,1
"Pgd",0.155478703009159,-0.51821422811585,0.12,0.166,1
"Cds2",0.155933194255518,0.499519718468888,0.277,0.228,1
"Zfp68",0.156230299592852,-0.294768546467632,0.098,0.145,1
"Ipo8",0.15655785936326,1.08160136417649,0.13,0.09,1
"Crls1",0.156650555466936,-0.645127628304883,0.084,0.124,1
"Slc35a4",0.156834690478449,-0.354262262167195,0.179,0.241,1
"Pqbp1",0.156936967656128,-0.301219147917429,0.158,0.214,1
"Cep19",0.157015393024112,-1.2066129727773,0.03,0.055,1
"Atg2a",0.157311770849653,0.764392444406316,0.092,0.055,1
"Supt7l",0.157422725827033,0.744865783691858,0.084,0.048,1
"Fam114a2",0.157492003113763,-0.303117791137576,0.174,0.234,1
"Coasy",0.157518436091286,-0.319559694608186,0.087,0.131,1
"Nsmce2",0.157580004819033,0.77302160817963,0.264,0.221,1
"Senp2",0.157585585522574,0.497543452860991,0.217,0.166,1
"Plekha5",0.15780068522335,1.07354339757489,0.188,0.145,1
"Rictor",0.158197833116163,0.613151916914004,0.293,0.255,1
"Wdr61",0.158201101153705,-0.267684746381297,0.128,0.179,1
"Grpel2",0.158268458310583,-0.320527082383274,0.087,0.131,1
"Gnptab",0.158507402418784,0.7328361382874,0.391,0.379,1
"Kcnk13",0.15923543067663,0.525100551633817,0.508,0.51,1
"Anks3",0.15936373929396,1.16458755940203,0.092,0.055,1
"Sdccag8",0.160044466686549,0.771091176991175,0.16,0.117,1
"Bcl6",0.160155341843348,-0.271461646143607,0.087,0.131,1
"Mblac2",0.160380901285102,-0.270505490621268,0.114,0.159,1
"Sin3a",0.160394361920963,-0.703127096323467,0.09,0.131,1
"Mon2",0.160425317020161,0.456718346910687,0.332,0.283,1
"Celf2",0.16078063951183,1.80602070560797,0.09,0.055,1
"Rc3h2",0.161527451465162,0.831469536584961,0.22,0.172,1
"Rbbp9",0.161555570173066,-0.508549642127327,0.136,0.186,1
"BC024978",0.161595637532694,0.930555157740338,0.076,0.041,1
"Sh3tc2",0.161798172990913,1.45023530533987,0.141,0.103,1
"Tmem81",0.162921571503346,0.981899992900726,0.057,0.028,1
"Hacd1",0.163044112016613,-0.254648081614034,0.25,0.31,1
"Fam53b",0.163252175373661,0.557348384869963,0.272,0.221,1
"Sparcl1",0.163400429640737,1.01675912146087,0.152,0.11,1
"Hif1an",0.163528327413562,-0.321116284726136,0.071,0.11,1
"Arid1a",0.163636091977401,0.572427940159706,0.255,0.207,1
"Mat2b",0.163637506441688,-0.288532803704066,0.19,0.248,1
"Tmem135",0.163820891388803,0.768044134323431,0.255,0.214,1
"Myo9a",0.164176685650612,0.695427877277139,0.353,0.331,1
"Gpt",0.164792881938626,-0.517457742622196,0.179,0.228,1
"Chuk",0.16504794464807,0.622736081596906,0.19,0.145,1
"Snap23",0.16519936952572,0.871499158644931,0.16,0.117,1
"Slc25a10",0.165479114829482,-1.20474088315834,0.03,0.055,1
"Pter",0.166181119523848,-0.773669008681617,0.073,0.11,1
"Enpp1",0.166265191762355,0.760016527637838,0.177,0.131,1
"Tab2",0.166357978187216,-0.311550692230546,0.266,0.352,1
"5330434G04Rik",0.166565049464122,0.787600088741948,0.19,0.145,1
"Hps6",0.166715727717107,-1.2464919889655,0.03,0.055,1
"Nol3",0.16735869846294,0.760589351470076,0.101,0.062,1
"Nrp2",0.167843142894071,1.13008051753215,0.065,0.034,1
"Arfrp1",0.167913948378191,-0.397958349923998,0.125,0.172,1
"Mrnip",0.167959274255456,-0.757604482506088,0.03,0.055,1
"Aldh9a1",0.168039419276531,-0.356777632583533,0.168,0.221,1
"Kti12",0.168074640339251,-1.28917732978175,0.035,0.062,1
"Magee1",0.168110977437608,-0.280989087956271,0.095,0.138,1
"Sec24b",0.168462346207525,0.575396106610371,0.242,0.193,1
"Cog5",0.168817143899974,0.960892903707149,0.168,0.124,1
"Btaf1",0.169023333137083,0.746713381260168,0.293,0.255,1
"Sugp2",0.169558893674347,-0.526089072675472,0.084,0.124,1
"Kansl1",0.169794772776587,0.48285343157966,0.302,0.262,1
"Vps53",0.170191759335887,-0.330765821017099,0.147,0.2,1
"Garem1",0.170656474419321,1.252452245459,0.09,0.055,1
"Cux2",0.170656474419321,1.11851731696718,0.09,0.055,1
"Morn4",0.170866737517708,-0.579067285013152,0.052,0.083,1
"Psma4",0.171278233226795,-0.317992269866525,0.285,0.345,1
"Arhgef7",0.171425988914404,1.08454776161616,0.098,0.062,1
"Gm48371",0.171437754054303,1.06648118560781,0.065,0.034,1
"Morc2a",0.171475150978324,1.6634073506216,0.103,0.069,1
"Ngrn",0.171642403185505,-1.06301250335109,0.041,0.069,1
"Dnajb5",0.171731699472517,-0.953416319348376,0.03,0.055,1
"Rom1",0.171731699472517,-0.875759791137972,0.03,0.055,1
"Zfp346",0.172034032510518,1.19234991791548,0.073,0.041,1
"Gpank1",0.172165844543079,-0.340359965767831,0.065,0.103,1
"Ttc3",0.172208635014001,0.573096549419794,0.386,0.352,1
"Rabgef1",0.172271911420721,1.0270706633904,0.098,0.062,1
"Lbh",0.172626602239147,0.828736543774372,0.179,0.138,1
"Ehd1",0.172830599350805,-0.284669235404018,0.258,0.331,1
"Rab8b",0.173049458975882,0.922880191297053,0.147,0.103,1
"Ccdc50",0.173216469098727,0.43889405472256,0.418,0.393,1
"Edem3",0.173488275732193,0.633797092736178,0.171,0.124,1
"Rrp12",0.173641528874779,-0.734654531920801,0.03,0.055,1
"Tgfbi",0.173660061085636,0.944247939544408,0.114,0.076,1
"Ston2",0.174146041724215,0.769123500444285,0.264,0.221,1
"Bche",0.174177485913682,1.2405802494599,0.128,0.09,1
"Tmem62",0.174248878319665,1.02677263733668,0.152,0.11,1
"Antxr1",0.174642258254563,1.29354448129155,0.09,0.055,1
"Tmem203",0.174919340792164,-0.554662488835991,0.068,0.103,1
"Ppcdc",0.175723400440835,0.368565793381713,0.06,0.097,1
"Ppp1r9b",0.175970913078873,-0.434842960453528,0.098,0.138,1
"Atp9a",0.176278733949602,0.40103539919721,0.546,0.538,1
"Nudt21",0.176491746243953,-0.296849760304952,0.16,0.214,1
"Limd1",0.176548412100118,1.06020514247942,0.098,0.062,1
"Etv5",0.176859774624708,-0.641006430808282,0.03,0.055,1
"Cwc22",0.176970267125163,1.23285327722123,0.073,0.041,1
"Klhdc10",0.176982417967515,0.941643872407713,0.166,0.124,1
"Coq4",0.177267615932342,-0.874787068192747,0.041,0.069,1
"Mbtps2",0.177469636002815,0.967547835551613,0.073,0.041,1
"Numb",0.177729519743095,0.998342129242957,0.196,0.159,1
"Sec22c",0.178159443241163,-0.415815525707389,0.03,0.055,1
"Ptk2",0.178311317221905,0.58896947530861,0.557,0.586,1
"Qsox2",0.178496372894238,-0.85315263769117,0.052,0.083,1
"Znrd1",0.178695942000485,-0.338817325010775,0.125,0.172,1
"Zmym6",0.178716106767126,1.07232400002699,0.098,0.062,1
"Fto",0.178953163388483,0.70925810965403,0.38,0.359,1
"Apbb1ip",0.17901650326193,1.21332166726817,0.106,0.069,1
"Znfx1",0.179041963854875,0.531885953819309,0.264,0.214,1
"Firre",0.179151958998012,1.26058122975801,0.09,0.055,1
"Ccdc126",0.179466206768939,-0.682082734177136,0.03,0.055,1
"Lmbr1l",0.179466206768939,-0.477049839654977,0.03,0.055,1
"Zbtb17",0.179555749254078,-0.557357740664275,0.041,0.069,1
"Ifngr1",0.179637299167155,-0.326614254011159,0.12,0.166,1
"Exoc2",0.180512444090177,1.16358407317192,0.141,0.103,1
"Gorab",0.180708016081697,-0.828657900766424,0.041,0.069,1
"Pcdh7",0.181023616670966,0.338189927639771,0.06,0.097,1
"Sulf2",0.181329972870182,0.463228927371557,0.576,0.593,1
"Lmnb1",0.181851381129048,-0.718084505002174,0.035,0.062,1
"Orai3",0.181851381129048,-0.708780697718464,0.035,0.062,1
"Gopc",0.181866470068303,0.576538073039104,0.177,0.131,1
"Ocrl",0.181884248844784,1.87665698717047,0.062,0.034,1
"Ubr5",0.182017865130193,0.686088845731538,0.285,0.248,1
"Raf1",0.182092450102191,1.25511110138485,0.226,0.193,1
"Gfer",0.182310511402061,-0.448362919979171,0.109,0.152,1
"Lurap1",0.182468306959077,1.86562698882751,0.054,0.028,1
"Setbp1",0.182667748389438,0.88650637625172,0.098,0.062,1
"Timm10",0.182929605609097,-0.348930621640005,0.062,0.097,1
"Samd8",0.183061625356348,0.870584615258313,0.264,0.228,1
"Smim8",0.183221023021764,-0.389184663220694,0.073,0.11,1
"Mospd1",0.183612692780353,-0.810398044506842,0.041,0.069,1
"Wdr13",0.183657842761709,0.989005665303046,0.082,0.048,1
"B3galt4",0.183708397225988,-0.527874664780741,0.035,0.062,1
"Adamts6",0.183770911921181,1.37672803871802,0.111,0.076,1
"Cpsf3",0.184074798806911,-0.356848143106651,0.133,0.179,1
"Phf20",0.184199836317812,0.60689268645605,0.274,0.234,1
"Zfhx2os",0.184227440581931,1.31828259592588,0.152,0.117,1
"Coq3",0.184330513383612,-0.585913234924209,0.035,0.062,1
"Klhl2",0.184534145560044,0.37402366626701,0.75,0.772,1
"Uchl3",0.184810905079099,-0.297458258089689,0.171,0.228,1
"Cavin2",0.184852074285329,1.57645325101049,0.054,0.028,1
"Ap3b1",0.185048810100333,0.695369621417916,0.312,0.283,1
"Ftsj3",0.185104755821823,-0.310879036157176,0.101,0.145,1
"Ap4e1",0.185120755340591,0.922762638455704,0.082,0.048,1
"Ptprn",0.185392483929252,-0.606147788087126,0.084,0.124,1
"Arhgap33",0.185451600706038,1.51423448866706,0.054,0.028,1
"Tent4b",0.18556623947658,1.10172412934117,0.133,0.097,1
"Mprip",0.185758875763704,0.688190584485805,0.302,0.269,1
"Phka1",0.185862331213436,1.40723864130161,0.111,0.076,1
"Dlgap4",0.185961223581121,-0.702111126837575,0.041,0.069,1
"Ddx3x",0.186013603293482,0.611288771010098,0.288,0.248,1
"A930003A15Rik",0.186107046942951,-0.709136521821318,0.03,0.055,1
"Pnpt1",0.186120142374692,0.833698078920333,0.073,0.041,1
"Slc30a5",0.186282718385574,-0.295632969548533,0.09,0.131,1
"Srrd",0.186346419610783,-0.472112185902396,0.062,0.097,1
"Arhgap39",0.18640324959812,0.587213740616261,0.378,0.338,1
"Etnk1",0.186596618010712,0.368510814220342,0.5,0.503,1
"Gas2",0.186638535083304,0.436497063965252,0.073,0.041,1
"Fam3c",0.186834576983965,-0.63111115932463,0.035,0.062,1
"Manea",0.187150193739633,0.71889971770019,0.122,0.083,1
"Fam228b",0.187220738032543,1.24355586462032,0.141,0.103,1
"Gemin2",0.187361064635159,-0.385767273440129,0.057,0.09,1
"Golgb1",0.1874329586447,0.971853150432818,0.255,0.221,1
"Idua",0.187737141111446,-0.308303869259651,0.041,0.069,1
"Cpped1",0.187787966046943,1.05633704514067,0.141,0.103,1
"Rab10",0.18795317554095,0.276432079078406,0.693,0.738,1
"Wdr55",0.188331886615659,-0.67798739576457,0.041,0.069,1
"Mtrf1l",0.188331886615659,-0.405796983203042,0.041,0.069,1
"Naga",0.188819806738798,-0.322879443517661,0.09,0.131,1
"Fggy",0.18894293430882,0.904839121624982,0.098,0.062,1
"Adamts20",0.188960130060428,1.1665754293961,0.168,0.131,1
"Ccdc134",0.189059706842612,-0.587759258369346,0.052,0.083,1
"Gramd3",0.18919771431811,0.711254933987202,0.288,0.255,1
"Zfp120",0.189363678960875,-0.587394984219667,0.035,0.062,1
"Bak1",0.189525545344965,-0.693165715047995,0.041,0.069,1
"Abi2",0.190307726561182,0.833630939257425,0.25,0.214,1
"Gtpbp6",0.190439124922277,-0.341177012612676,0.103,0.145,1
"Pip4k2b",0.190456580424933,1.21871484833803,0.079,0.048,1
"Kmt2a",0.190804237665015,0.800990879265142,0.285,0.255,1
"Ormdl1",0.190854803386402,-0.622528794734691,0.098,0.138,1
