"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Usp19",3.12893827599491e-36,0.283582424910619,0.167,0.075,1.01017772240496e-31
"Nfkb1",3.69233638631082e-36,-0.73921750438415,0.302,0.369,1.19207080232045e-31
"Wdfy3",4.12859551454298e-36,-0.670763467677192,0.36,0.415,1.3329170618702e-31
"2900076A07Rik",5.30051599491589e-36,0.309980202456157,0.109,0.039,1.7112715889586e-31
"Lmbr1",6.06307654655109e-36,0.271985055878298,0.158,0.069,1.95746426305402e-31
"Actr2",6.96432013318482e-36,-0.796610660252953,0.135,0.224,2.24843075499872e-31
"Rbis",7.7270437964653e-36,0.31673494657798,0.133,0.054,2.49467608968882e-31
"Scn8a",7.91008117256684e-36,0.277689844026934,0.2,0.098,2.55376970656321e-31
"Rab11fip3",8.26714363142653e-36,0.280140277269399,0.166,0.075,2.66904732140606e-31
"Ahdc1",8.65078813260809e-36,0.292803215160694,0.133,0.054,2.79290694861252e-31
"Gsr",1.34057504270685e-35,0.317222933629373,0.105,0.037,4.32804652537907e-31
"4930581F22Rik",1.50026829320577e-35,0.323730781724357,0.125,0.049,4.84361618461483e-31
"Ndrg4",1.73661640689419e-35,0.333870131560164,0.136,0.056,5.60666606965788e-31
"Cept1",1.92995987221862e-35,-0.836158018734915,0.174,0.259,6.23087544745782e-31
"Fmr1",1.94050872325484e-35,0.28037943135622,0.179,0.084,6.26493241302825e-31
"Meis1",2.2129348270638e-35,0.310376550669236,0.172,0.08,7.14446008917547e-31
"Ift74",2.2453949063998e-35,0.309501414654035,0.107,0.038,7.24925745531176e-31
"Pip4p1",2.79813153885256e-35,-0.789375923626895,0.068,0.146,9.03376767318549e-31
"Gm12166",2.89776108120532e-35,-0.779637183702766,0.038,0.105,9.35542165067138e-31
"Ampd3",3.81880449551384e-35,0.31629588238358,0.105,0.037,1.23290103137664e-30
"Nipsnap2",4.32152001885186e-35,0.270285957057963,0.146,0.063,1.39520273808632e-30
"Hexa",4.81996021858803e-35,-0.778196391935837,0.073,0.151,1.55612415657114e-30
"Unc13b",4.90116018209996e-35,0.320836755708199,0.134,0.055,1.58233956479097e-30
"Mblac2",5.2144933655579e-35,0.314458619492205,0.129,0.052,1.68349918307037e-30
"Atp2b1",5.87991903455267e-35,-0.619650952163023,0.398,0.447,1.89833186030533e-30
"Tbc1d23",5.93676169021756e-35,-0.794914422192898,0.2,0.284,1.91668351168674e-30
"Vdac1",6.38162571213662e-35,0.281341954005772,0.115,0.043,2.06030786116331e-30
"Acap2",6.963394564817e-35,-0.552364504317565,0.46,0.481,2.24813193525117e-30
"Prkn",7.70173372011239e-35,-0.384737322149057,0.648,0.598,2.48650473153828e-30
"Zbtb18",1.00545914242886e-34,-0.736006906010036,0.037,0.102,3.24612484133158e-30
"Med25",1.02398811501041e-34,0.309427506169694,0.116,0.044,3.30594562931112e-30
"Atad3a",1.1128076453638e-34,0.307075365299601,0.103,0.036,3.59269948305704e-30
"Zfp715",1.14471539481188e-34,-0.739274764818886,0.043,0.112,3.69571365215016e-30
