"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mitf",5.11594449673109e-119,-1.87026961181894,0.276,0.442,1.65168268076963e-114
"Rnf144a",5.73716800021066e-119,1.72479403633102,0.23,0.057,1.85224468886801e-114
"Azin1",6.47721699830893e-119,1.18706309799013,0.284,0.086,2.09116950790404e-114
"Mpdz",1.14179952254363e-118,1.78863360897878,0.21,0.046,3.68629975853212e-114
"Tafa5",1.2920011477222e-118,1.36550804637468,0.254,0.069,4.17122570542112e-114
"Tbc1d16",1.78005744693272e-118,-3.24670855053509,0.046,0.208,5.74691546742229e-114
"Hacd3",2.90558916037172e-118,1.22387555473794,0.249,0.065,9.38069460426008e-114
"Smim3",3.6340007895224e-118,1.96822265164125,0.171,0.026,1.17323715489731e-113
"Bbof1",3.91323646333159e-118,1.85132282653496,0.186,0.033,1.2633883921866e-113
"Mras",9.09619890052715e-118,1.12629879391726,0.288,0.088,2.93670781503519e-113
"Apc",1.10196532834507e-117,0.649061531013021,0.651,0.348,3.55769506256206e-113
"Rbm20",1.81782968896858e-117,3.38168904731007,0.126,0.007,5.86886315083506e-113
"Maoa",1.96577695786328e-117,3.26077405836472,0.133,0.01,6.3465109084616e-113
"A830008E24Rik",2.36945567794225e-117,-3.12950146787156,0.057,0.223,7.64978765623655e-113
"Atp2a2",3.00049997987385e-117,0.78214317868756,0.449,0.191,9.68711418502271e-113
"Tbc1d22a",3.55287608997395e-117,-2.40762272999893,0.127,0.308,1.14704604564809e-112
"Nfyc",4.2738914915648e-117,1.04451815972816,0.308,0.1,1.37982586805169e-112
"Arhgef10l",4.82928995180572e-117,1.65703667877307,0.176,0.028,1.55913626094048e-112
"Boc",6.12292308429494e-117,2.67376562451526,0.138,0.012,1.97678571776462e-112
"Gm3264",7.40694482149641e-117,-5.11069353886339,0.009,0.141,2.39133213562012e-112
"Atp2b2",9.80517499808123e-117,0.825232160062862,0.353,0.124,3.16560074813052e-112
"Lncpint",3.07069873679051e-116,0.636773701689461,0.689,0.39,9.91375087172818e-112
"Pclo",4.83439225235464e-116,0.916752437430922,0.388,0.153,1.5607835386727e-111
"Man1a2",5.57492752176948e-116,-2.01012681721771,0.221,0.396,1.79986535040328e-111
"Pycard",8.20321628586998e-116,-5.18172469784083,0.008,0.137,2.64840837789312e-111
"Nxpe4",3.21382710890131e-115,1.87191166430944,0.191,0.037,1.03758408210879e-110
"Ppcdc",3.83291052457594e-115,-2.55907236896997,0.101,0.278,1.23745516285934e-110
"Man2b1",7.23519147408313e-115,-3.10438367380984,0.048,0.208,2.33588156740774e-110
"Apba1",8.53622783667656e-115,-1.82313275837127,0.259,0.428,2.75592115707103e-110
"Adcyap1r1",9.95715855847791e-115,2.58934423733676,0.137,0.012,3.21466864060459e-110
"Suclg1",1.06105010680791e-114,1.66713340180499,0.191,0.037,3.42560026982935e-110
"Ifrd1",1.73025383197861e-114,1.12425472153077,0.258,0.072,5.58612449654294e-110
"Nova1",1.94711654518898e-114,0.890500390253622,0.35,0.128,6.28626576614262e-110
"Prkcd",2.70893676250691e-114,-2.84401150814766,0.08,0.25,8.74580233775357e-110
"Tspan9",3.65667185386714e-114,1.23794714531755,0.243,0.065,1.18055650802101e-109
"Btk",5.7717470399696e-114,-4.72982229437807,0.012,0.145,1.86340853185419e-109
"Fes",7.64658346118687e-114,-4.83353993151356,0.008,0.137,2.46869947044418e-109
"Camk1d",8.40628624679451e-114,-1.30699674035181,0.49,0.591,2.71396951477761e-109
"Adgre1",8.87921779727025e-114,-4.9065066893922,0.011,0.142,2.8666554658487e-109
"Cnnm2",1.36228476005566e-113,1.21885624026271,0.261,0.075,4.3981363478397e-109
"Fmnl2",1.41473460074389e-113,0.583005760910402,0.63,0.327,4.56747065850164e-109
"Epdr1",1.83934636195513e-113,2.5829023395132,0.155,0.021,5.93832972957214e-109
"Gm1604a",2.07462990505395e-113,3.09976071350554,0.131,0.011,6.69794264846667e-109
"Pigs",2.34980306417262e-113,2.97533519958733,0.136,0.013,7.58633919268131e-109
"Rbms1",2.62801236390021e-113,0.946254621265883,0.338,0.121,8.48453791685183e-109
"Pmm1",2.68796410775855e-113,2.38254931379598,0.15,0.018,8.67809212189848e-109
"Smarcd3",2.83648003144754e-113,2.39148143745721,0.149,0.018,9.15757578152837e-109
"Prkaa2",2.84670853565285e-113,1.85793256665492,0.174,0.029,9.19059850735524e-109
"Hivep3",2.95141363440016e-113,0.572390127406823,0.762,0.476,9.52863891866092e-109
"Npdc1",2.99840340913335e-113,1.87884463818757,0.185,0.035,9.68034540638703e-109
"F11r",3.75831802650806e-113,-4.8222951331333,0.01,0.141,1.21337297485813e-108
"Cflar",6.95149260541349e-113,-2.27107106815755,0.137,0.315,2.24428938765774e-108
"Bbs9",7.44459773496333e-113,-2.14298286925951,0.18,0.357,2.40348837873291e-108
"Zfp641",1.81675164492559e-112,2.73364456561427,0.136,0.013,5.86538268564227e-108
"Kirrel2",2.01090101754643e-112,6.51015427757295,0.104,0.001,6.49219393514866e-108
"Epha5",5.38235952537994e-112,1.24689703230083,0.259,0.075,1.73769477276891e-107
"Stk38l",6.57897694593126e-112,1.73828304528551,0.18,0.033,2.12402270699391e-107
"Phkb",7.38275633836454e-112,0.631050345797806,0.544,0.267,2.38352288384099e-107
"Oplah",1.30500755948867e-111,2.71982554811867,0.143,0.016,4.21321690580919e-107
"Git2",3.17503406489562e-111,-2.25894079500942,0.148,0.324,1.02505974785155e-106
"Otud7a",4.05903049391438e-111,0.829956412505444,0.418,0.18,1.31045799496026e-106
"Camk2d",6.59333573829168e-111,-1.48856300633379,0.387,0.519,2.12865844310747e-106
"Dennd1a",6.74219134015873e-111,0.572608240321606,0.736,0.44,2.17671647417024e-106
"Btbd17",6.8454121226144e-111,5.74925684734306,0.103,0.001,2.21004130378606e-106
"Elovl5",1.39820709901327e-110,1.55418063935966,0.212,0.05,4.51411161916433e-106
"Peg3",2.20847046240512e-110,1.23250228572439,0.239,0.064,7.13004688787491e-106
"Reck",2.97742041798854e-110,2.1206908785491,0.162,0.025,9.61260181947599e-106
"Agrn",3.0626840847485e-110,1.5896796572753,0.208,0.049,9.88787556761053e-106
"Maml2",7.02949107559111e-110,0.518623992485013,0.818,0.56,2.26947119375459e-105
"Aftph",7.28242578287085e-110,-1.99670792513284,0.216,0.386,2.35113116399985e-105
"Leng8",1.16632501526977e-109,0.94245469629619,0.346,0.129,3.76548031179846e-105
"Gprc5b",2.13451697495417e-109,2.05082138924428,0.18,0.035,6.89128805363953e-105
"Dok6",6.18687417873658e-109,1.12011114587387,0.261,0.077,1.9974323286051e-104
"Slc7a7",1.30866370910633e-108,-4.97276037010489,0.01,0.136,4.22502078484979e-104
"Bhlhe40",1.54434656152738e-108,2.84340061374206,0.135,0.014,4.98592287389116e-104
"Gm46224",1.86267310936915e-108,-5.26531487691529,0.007,0.129,6.01364013359831e-104
"Robo1",1.96532554839863e-108,0.850680643160316,0.341,0.126,6.34505353300497e-104
"Pwwp2a",2.06711015676636e-108,-2.16262794120819,0.161,0.336,6.67366514112021e-104
